id,title,print_issn,e_issn,normalized_print,normalized_e,source_id,scopus_title,scopus_publisher,scopus_issn,scopus_eissn
63c3fca7-f7e1-4f06-8dc1-aa1d394c956b,JOURNAL OF HOSPITALITY & TOURISM RESEARCH,1096-3480,1557-7554,10963480,15577554,16800154721,Journal of Hospitality and Tourism Research,SAGE Publications Inc.,10963480,15577554
1abe2eec-445d-4d6f-9ce5-26a9ea9510ab,BIRTH DEFECTS RESEARCH,2472-1727,2472-1727,24721727,24721727,21100811517,Birth Defects Research,John Wiley and Sons Ltd,,24721727
bfe46072-e037-47cb-bf4d-af10ec948b94,BIOLOGIA,0006-3088,1336-9563,00063088,13369563,9500154033,Biologia,Springer Science and Business Media Deutschland GmbH,00063088,13369563
206e94bd-5b3a-4d97-bbd1-31caa8f44772,CRIME MEDIA CULTURE,1741-6590,1741-6604,17416590,17416604,16300154766,"Crime, Media, Culture",SAGE Publications Ltd,17416590,17416604
0542c40c-84fb-4db7-91ad-b1802bceb17b,INDIAN JOURNAL OF PUBLIC HEALTH,0019-557X,2229-7693,0019557X,22297693,21419,Indian Journal of Public Health,Wolters Kluwer Medknow Publications,0019557X,22297693
d58286ac-8651-46b5-9eb0-91682cad06dd,RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1540-7969,2169-2408,15407969,21692408,78905,Research and Practice for Persons with Severe Disabilities,SAGE Publications Inc.,15407969,21692408
64074798-3d37-412d-ac2c-377301b1154e,SUSTAINABLE ENVIRONMENT RESEARCH,2468-2039,2468-2039,24682039,24682039,21100287109,Sustainable Environment Research,BioMed Central Ltd,,24682039
642e84e0-3bc6-45e8-a3f4-b6df2e8bf7c6,SCANDINAVIAN JOURNAL OF SURGERY,1457-4969,1799-7267,14574969,17997267,22270,Scandinavian Journal of Surgery,SAGE Publications Inc.,14574969,17997267
64bffbfe-057a-41d7-8179-5700db20c3b1,SOFTWARE AND SYSTEMS MODELING,1619-1366,1619-1374,16191366,16191374,144641,Software and Systems Modeling,Springer Verlag,16191366,16191374
4c5aad26-4083-46e8-9abc-a70cfb097a12,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,0883-6353,1520-6548,08836353,15206548,31074,Geoarchaeology - An International Journal,John Wiley & Sons Inc.,08836353,15206548
1916f138-9cde-4149-b871-ccf17c8f8a98,JOURNAL OF MEDICAL BIOCHEMISTRY,1452-8258,1452-8266,14528258,14528266,5900153316,Journal of Medical Biochemistry,Society of Medical Biochemists of Serbia,14528258,14528266
6e419a19-2361-40b4-ac50-6437f8457d2a,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,0218-2130,1793-6349,02182130,17936349,4700152645,International Journal on Artificial Intelligence Tools,World Scientific,02182130,17936349
250467d4-374e-45b5-9947-a8b0c0ecd580,ADVANCES IN MATHEMATICS,0001-8708,1090-2082,00018708,10902082,24570,Advances in Mathematics,Academic Press Inc.,00018708,10902082
ee0f7980-1c3a-4a0e-9be4-1d7064e40225,BRAZILIAN JOURNAL OF PHYSICAL THERAPY,1413-3555,1809-9246,14133555,18099246,10800153305,Brazilian Journal of Physical Therapy,Revista Brasileira de Fisioterapia,14133555,18099246
194ed91e-56c3-4c42-80d5-01d54e076acb,APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,02682605,10990739,22701,Applied Organometallic Chemistry,John Wiley and Sons Ltd,02682605,10990739
86a2453e-2753-4840-ac09-7a757b027b6e,COLLOIDS AND SURFACES B-BIOINTERFACES,0927-7765,1873-4367,09277765,18734367,26590,Colloids and Surfaces B: Biointerfaces,Elsevier B.V.,09277765,18734367
2a26f684-dbbe-4a7c-8fec-d0c9efe77584,HABITAT INTERNATIONAL,0197-3975,1873-5428,01973975,18735428,13760,Habitat International,Elsevier Ltd,01973975,
fe505b28-cc4a-4f70-a5e8-e17e1e0a7e9c,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,0965-1748,1879-0240,09651748,18790240,20384,Insect Biochemistry and Molecular Biology,Elsevier Ltd,09651748,18790240
eebab594-4f59-4085-bd18-8bf953887fdb,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,0165-2370,1873-250X,01652370,1873250X,24154,Journal of Analytical and Applied Pyrolysis,Elsevier B.V.,01652370,
afd49a01-9cb3-4bcd-bef0-92e06e0e6557,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,1757-7780,1757-7799,17577780,17577799,19900191605,Wiley Interdisciplinary Reviews: Climate Change,John Wiley & Sons Inc.,17577780,17577799
bf8f7a39-3d0f-4aaa-8005-7e9ff903bb16,TECHNOVATION,0166-4972,1879-2383,01664972,18792383,14726,Technovation,Elsevier Ltd,01664972,
8ea340cb-b38a-449c-9e6f-047e6775e4f7,AIDS PATIENT CARE AND STDS,1087-2914,1557-7449,10872914,15577449,21764,AIDS Patient Care and STDs,Mary Ann Liebert Inc.,10872914,15577449
d6584a50-eec5-49fa-a9e8-36dd7b49bb85,INTERNATIONAL RELATIONS OF THE ASIA-PACIFIC,1470-482X,1470-4838,1470482X,14704838,145601,International Relations of the Asia-Pacific,Oxford University Press,1470482X,14704838
e66105a0-4875-43f1-bc9c-ad8f5e042e3f,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH,0883-0355,1873-538X,08830355,1873538X,12073,International Journal of Educational Research,Elsevier B.V.,08830355,
91e490b2-a65c-4870-9633-61f0992c7568,JOURNAL OF DERMATOLOGY,0385-2407,1346-8138,03852407,13468138,24863,Journal of Dermatology,John Wiley and Sons Inc,03852407,13468138
d538208c-bbb2-40d1-9894-2e779fffa7de,JOURNAL OF CREATIVE BEHAVIOR,0022-0175,2162-6057,00220175,21626057,12789,Journal of Creative Behavior,John Wiley & Sons Inc.,00220175,21626057
75e1a387-ee1e-4db6-9ef1-b63608da790e,MACHINE VISION AND APPLICATIONS,0932-8092,1432-1769,09328092,14321769,12984,Machine Vision and Applications,Springer Verlag,09328092,14321769
aba5e0f7-3004-4110-8351-9ddfbe340587,QUANTITATIVE ECONOMICS,1759-7323,1759-7331,17597323,17597331,21100255526,Quantitative Economics,Wiley-Blackwell,17597323,17597331
d7083d7b-b0d7-4be7-b8c7-e0c9d2261083,RESEARCH IN SOCIAL & ADMINISTRATIVE PHARMACY,1551-7411,1934-8150,15517411,19348150,4700151922,Research in Social and Administrative Pharmacy,Elsevier Inc.,15517411,
30cb7cb5-30dd-4633-93f1-59d28ecbd2fb,CHILDREN & SOCIETY,0951-0605,1099-0860,09510605,10990860,24472,Children and Society,Wiley-Blackwell Publishing Ltd,09510605,10990860
32e3f13b-31ca-4695-8c25-1a45ddc8ed96,CHEMMEDCHEM,1860-7179,1860-7187,18607179,18607187,4400151608,ChemMedChem,John Wiley and Sons Ltd,18607179,18607187
608ed5c4-93e7-4286-8629-6bcac2f86b60,AFRICAN JOURNAL OF EMERGENCY MEDICINE,2211-419X,2211-4203,2211419X,22114203,19900194818,African Journal of Emergency Medicine,African Federation for Emergency Medicine,2211419X,22114203
3b095e32-6132-4654-ab14-68e20987c6aa,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,1012-2443,1573-7470,10122443,15737470,23670,Annals of Mathematics and Artificial Intelligence,Springer Netherlands,10122443,15737470
ba0f1dca-b804-4d01-8624-f1b22c326d4d,CANADIAN RESPIRATORY JOURNAL,1198-2241,1916-7245,11982241,19167245,18421,Canadian Respiratory Journal,John Wiley and Sons Ltd,11982241,19167245
c36ecf8d-34e9-4083-b4f4-105c3561eea5,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,1648-6897,1822-4199,16486897,18224199,87849,Journal of Environmental Engineering and Landscape Management,Vilnius Gediminas Technical University,16486897,18224199
cc210caa-259b-43cf-b9b5-c2ae717c15cb,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1095-8614,03057488,10958614,29276,Journal of Historical Geography,Academic Press,03057488,10958614
0c42b850-a86a-4357-b9bd-a60a0586c027,MATHEMATICAL INTELLIGENCER,0343-6993,1866-7414,03436993,18667414,24574,Mathematical Intelligencer,Springer New York,03436993,
a4437eed-9cc5-4019-a695-17a40b5f324b,NORDIC JOURNAL OF LINGUISTICS,0332-5865,1502-4717,03325865,15024717,5800207749,Nordic Journal of Linguistics,Cambridge University Press,03325865,15024717
992c509a-0f31-4555-b384-8237b3642346,AMPHIBIA-REPTILIA,0173-5373,1568-5381,01735373,15685381,24137,Amphibia - Reptilia,Brill Academic Publishers,01735373,15685381
b10ff75d-5afa-4831-a694-54d9aeeae2e0,BRITISH JOURNAL OF OPHTHALMOLOGY,0007-1161,1468-2079,00071161,14682079,13736,British Journal of Ophthalmology,BMJ Publishing Group,00071161,14682079
e1209dff-3fbb-4043-bdcd-f5946455f084,ADVANCED OPTICAL MATERIALS,2195-1071,2195-1071,21951071,21951071,21100255548,Advanced Optical Materials,John Wiley & Sons Inc.,,21951071
2e13130f-5123-4f63-9ab7-489189eb5e43,ANNUAL REVIEW OF ANALYTICAL CHEMISTRY,1936-1327,1936-1335,19361327,19361335,19400156815,Annual Review of Analytical Chemistry,Annual Reviews Inc.,19361327,19361335
fdecddc5-69f5-4c0a-b489-6b267948f5b7,ANNALS OF NUTRITION AND METABOLISM,0250-6807,1421-9697,02506807,14219697,29992,Annals of Nutrition and Metabolism,S. Karger AG,02506807,14219697
5d855e37-4c8b-42a1-875f-c8aba0f3a1b4,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,1354-0661,1460-3713,13540661,14603713,24592,European Journal of International Relations,SAGE Publications Ltd,13540661,14603713
a865aa3e-f62a-42cd-b832-3ab36cf74565,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,1290-0729,1778-4166,12900729,17784166,13761,International Journal of Thermal Sciences,Elsevier Masson s.r.l.,12900729,
292b472a-e219-43af-810b-2d5d8145bd80,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,0021-7824,1776-3371,00217824,17763371,23795,Journal des Mathematiques Pures et Appliquees,Elsevier Masson s.r.l.,00217824,
78f849e7-528e-414f-af82-794dc373fb3d,RISK ANALYSIS,0272-4332,1539-6924,02724332,15396924,26372,Risk Analysis,John Wiley and Sons Inc,02724332,15396924
ec430f7c-6dcf-437f-9638-acfe4c03496e,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,0959-289X,1532-3374,0959289X,15323374,27523,International Journal of Obstetric Anesthesia,Elsevier Ltd,0959289X,15323374
9f5cd800-c2dd-4b7b-b6aa-8e2f4b913ee6,JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,1745-655X,01975897,1745655X,21906,Journal of Public Health Policy,Palgrave Macmillan,01975897,1745655X
a0929565-61a5-4821-a91a-8272ec591a40,LINEAR ALGEBRA AND ITS APPLICATIONS,0024-3795,1873-1856,00243795,18731856,24475,Linear Algebra and Its Applications,Elsevier Inc.,00243795,
b789e738-3d67-42a6-b0d4-33ecd9221cd7,JOURNAL OF RAMAN SPECTROSCOPY,0377-0486,1097-4555,03770486,10974555,24061,Journal of Raman Spectroscopy,John Wiley and Sons Ltd,03770486,10974555
5b5f16b3-6d54-4b33-bccd-faeae33dd6c0,PREHOSPITAL EMERGENCY CARE,1090-3127,1545-0066,10903127,15450066,12978,Prehospital Emergency Care,Taylor and Francis Ltd.,10903127,15450066
c0e3bd30-ef6d-4860-9839-15d1a1c9b328,PRECAMBRIAN RESEARCH,0301-9268,1872-7433,03019268,18727433,25755,Precambrian Research,Elsevier B.V.,03019268,
8a6995f9-0c8c-4eda-91b5-8c95f644d924,VIOLENCE AGAINST WOMEN,1077-8012,1552-8448,10778012,15528448,18777,Violence Against Women,SAGE Publications Inc.,10778012,15528448
8b66a398-6eab-42f4-bdd7-3adc3a6154e8,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,1930-5346,1930-5338,19305346,19305338,18800156711,Advances in Mathematics of Communications,American Institute of Mathematical Sciences,19305346,19305338
945a6d5e-e664-427e-a31f-6b55404c1c51,THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,1756-283X,1756-2848,1756283X,17562848,19700174916,Therapeutic Advances in Gastroenterology,SAGE Publications Ltd,1756283X,17562848
1b322226-8753-4ac0-8682-04547292e9a6,ANAEROBE,1075-9964,1095-8274,10759964,10958274,19607,Anaerobe,Academic Press,10759964,10958274
52d0c0e8-4045-49b1-a318-f991a85a6156,EARLY INTERVENTION IN PSYCHIATRY,1751-7885,1751-7893,17517885,17517893,17500155156,Early Intervention in Psychiatry,Wiley-Blackwell Publishing Ltd,17517885,17517893
7e78bd25-f495-404f-a88c-ae81e14bbff5,CYTOSKELETON,1949-3584,1949-3592,19493584,19493592,19600166416,Cytoskeleton,Wiley-Liss Inc.,19493584,19493592
0cc59a8a-285a-478a-9fac-d5e5d5f675e0,NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN,0077-7757,0077-7757,00777757,00777757,17044,"Neues Jahrbuch fur Mineralogie, Abhandlungen",Schweizerbart Science Publishers,00777757,23637161
149b2ec0-9faa-49b6-ad97-711c442e24fa,PROBABILITY AND MATHEMATICAL STATISTICS-POLAND,0208-4147,NA,02084147,no data,19900192611,Probability and Mathematical Statistics,Wydawnictwo Uniwersytetu Wroclawskiego Sp. z o.o.,02084147,
65675d44-4263-4d9d-93c2-ad5e2a74a851,PHYSIOLOGY INTERNATIONAL,2498-602X,2498-602X,2498602X,2498602X,21100802746,Physiology International,Akademiai Kiado,2498602X,
790f6515-9117-428f-9c3e-45ce7444adf7,REVIEW OF RELIGIOUS RESEARCH,0034-673X,2211-4866,0034673X,22114866,29632,Review of Religious Research,SAGE Publications Ltd,0034673X,22114866
b541c1ff-dcf0-4d9c-ab92-d14f26b98028,BIOCONJUGATE CHEMISTRY,1043-1802,1520-4812,10431802,15204812,16876,Bioconjugate Chemistry,American Chemical Society,10431802,15204812
3da6bcc8-a0bb-4eae-a0c9-a8e097c0135c,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045,01681591,18729045,24609,Applied Animal Behaviour Science,Elsevier B.V.,01681591,
69d8f7f0-4148-4625-82de-07d624a4f45d,AMERICAN ANTHROPOLOGIST,0002-7294,1548-1433,00027294,15481433,32845,American Anthropologist,John Wiley & Sons Inc.,00027294,15481433
b4a26231-3348-4b3e-b822-34c1fa074b2f,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,0272-9490,1943-7676,02729490,19437676,28566,American Journal of Occupational Therapy,SAGE Publications Ltd,02729490,19437676
4a56dc4a-0230-4f4a-a11e-4d611a4d1f59,APPLIED MATHEMATICS AND OPTIMIZATION,0095-4616,1432-0606,00954616,14320606,25179,Applied Mathematics and Optimization,Springer New York,00954616,14320606
3a65f118-8c1b-431c-b352-8f38a5403416,APPLIED LINGUISTICS,0142-6001,1477-450X,01426001,1477450X,18651,Applied Linguistics,Oxford University Press,01426001,1477450X
8ab206f7-8bb3-4363-b253-9fe1941f2d2d,EUROPEAN JOURNAL OF CANCER,0959-8049,1879-0852,09598049,18790852,29761,European Journal of Cancer,Elsevier Ltd,09598049,18790852
50d3d0c5-b006-41a0-a809-89578eafcff8,CIRCULATION RESEARCH,0009-7330,1524-4571,00097330,15244571,23063,Circulation Research,Lippincott Williams and Wilkins,00097330,15244571
c39e0259-cad4-4662-a542-347c2563ae68,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,0045-7825,1879-2138,00457825,18792138,18158,Computer Methods in Applied Mechanics and Engineering,Elsevier B.V.,00457825,
2dc884dc-6001-4f07-8c09-9ae37cd8ce71,JOURNAL OF ENERGY CHEMISTRY,2095-4956,2095-4956,20954956,20954956,21100244836,Journal of Energy Chemistry,Elsevier B.V.,20954956,
19821427-0f9a-408c-8790-ee35013aba9a,JOURNAL OF ENGINEERING EDUCATION,1069-4730,2168-9830,10694730,21689830,12481,Journal of Engineering Education,Wiley-Blackwell,10694730,21689830
34f363cd-7a37-4542-8e76-4636c040798e,JOURNAL OF ENVIRONMENTAL QUALITY,0047-2425,1537-2537,00472425,15372537,23375,Journal of Environmental Quality,American Society of Agronomy,00472425,15372537
5975bfa8-9d7f-4c1e-9617-c087eff861e8,JOURNAL OF MASS SPECTROMETRY,1076-5174,1096-9888,10765174,10969888,24044,Journal of Mass Spectrometry,John Wiley and Sons Ltd,10765174,10969888
6b1e2bde-b2b0-4e2b-8541-f26bdb8a31e2,JOURNAL OF NURSING MANAGEMENT,0966-0429,1365-2834,09660429,13652834,28233,Journal of Nursing Management,John Wiley and Sons Ltd,09660429,13652834
dfb7e6a1-51b8-4126-b3e1-785fb0e67cf5,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,0278-5846,1878-4216,02785846,18784216,21767,Progress in Neuro-Psychopharmacology and Biological Psychiatry,Elsevier Inc.,02785846,18784216
d8871735-0bad-455b-b88b-6f13be1fb240,SOLAR ENERGY,0038-092X,1471-1257,0038092X,14711257,13333,Solar Energy,Elsevier Ltd,0038092X,
55610f2b-3bad-4cb8-9e0a-c167660d85d0,BIOLOGY OF THE CELL,0248-4900,1768-322X,02484900,1768322X,18422,Biology of the Cell,Wiley-Blackwell,02484900,1768322X
68637a24-f272-4e96-9da6-50be3ce4f6b2,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,1438-7697,1438-9312,14387697,14389312,12921,European Journal of Lipid Science and Technology,Wiley-VCH Verlag,14387697,14389312
6a055ff5-5684-44aa-95e8-a0efe28a5f66,GENOME,0831-2796,1480-3321,08312796,14803321,22211,Genome,Canadian Science Publishing,08312796,14803321
6b54deea-6fb4-47a6-b25a-7968e2640f88,GENDER PLACE AND CULTURE,0966-369X,1360-0524,0966369X,13600524,23638,"Gender, Place and Culture",Routledge,0966369X,13600524
60bb54c3-ac05-4a8d-954b-4386d159c547,JOURNAL OF FORENSIC SCIENCES,0022-1198,1556-4029,00221198,15564029,27769,Journal of Forensic Sciences,John Wiley and Sons Inc,00221198,15564029
928e32c9-aad3-4810-a1a1-0ecce65a27e1,JOURNAL OF MANAGEMENT & ORGANIZATION,1833-3672,1839-3527,18333672,18393527,11700154614,Journal of Management and Organization,Cambridge University Press,18333672,18393527
9ec7a391-1942-4b83-9d13-a0d2e6af8654,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779,1543-2904,08952779,15432904,30091,Journal of Sport and Exercise Psychology,Human Kinetics Publishers Inc.,08952779,15432904
d848004b-3a7b-4c9e-b003-0c61fb495060,CLINICAL NURSE SPECIALIST,0887-6274,1538-9782,08876274,15389782,27598,Clinical Nurse Specialist,Lippincott Williams and Wilkins,08876274,15389782
c26ad29c-bc1f-4a3f-b0fb-42e59c557ef9,WEATHER,0043-1656,1477-8696,00431656,14778696,14762,Weather,Wiley-Blackwell,00431656,14778696
0744c7b8-88a1-4a66-9624-36b2952b6ad8,AMERICAN JOURNAL OF MATHEMATICS,0002-9327,1080-6377,00029327,10806377,24654,American Journal of Mathematics,Johns Hopkins University Press,00029327,10806377
ba2aa9ce-9b21-4588-955a-2178c538f802,APIDOLOGIE,0044-8435,1297-9678,00448435,12979678,19137,Apidologie,Springer-Verlag Italia s.r.l.,00448435,12979678
161b4c9a-051a-40ef-8e0a-39a57074e163,ANAESTHESIA,0003-2409,1365-2044,00032409,13652044,21410,Anaesthesia,Wiley-Blackwell Publishing Ltd,00032409,13652044
71c25e49-404d-4d7f-a8eb-1e6e1cc58562,ALLERGY,0105-4538,1398-9995,01054538,13989995,20185,Allergy: European Journal of Allergy and Clinical Immunology,Wiley-Blackwell Publishing Ltd,01054538,13989995
d4a0f271-e3bf-48ff-8d02-7f9d6ee609fe,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,2168-0485,21680485,21680485,21100248891,ACS Sustainable Chemistry and Engineering,American Chemical Society,,21680485
d4ce3604-fa70-4f0c-811e-a13ca9b67c60,ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,21922640,21922659,21100225611,Advanced Healthcare Materials,John Wiley and Sons Inc,21922640,21922659
6d6260fd-caeb-402f-8ac3-ae0424fcfea8,COMMUNICATIONS CHEMISTRY,2399-3669,2399-3669,23993669,23993669,21100924839,Communications Chemistry,Springer Nature,,23993669
b3339f32-2e96-446a-a82a-4836d8b455b8,DIGITAL JOURNALISM,2167-0811,2167-082X,21670811,2167082X,21100430187,Digital Journalism,Taylor and Francis Ltd.,21670811,2167082X
be1ae509-7895-4f55-b6bb-2117e8af7c65,CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1549-7801,07388551,15497801,15577,Critical Reviews in Biotechnology,Taylor and Francis Ltd.,07388551,15497801
2b3288f4-d713-4ba9-ac4d-60e6f939de7c,FEMINIST REVIEW,0141-7789,1466-4380,01417789,14664380,23596,Feminist Review,Palgrave Macmillan Ltd.,01417789,14664380
26b3ea32-7bbe-4211-a6c9-9a40b3f4b547,FOOD AND CHEMICAL TOXICOLOGY,0278-6915,1873-6351,02786915,18736351,25096,Food and Chemical Toxicology,Elsevier Ltd,02786915,18736351
d71e5d6b-eed2-4619-afca-93f499b1b2c2,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,0927796X,1879212X,17814,Materials Science and Engineering R: Reports,Elsevier B.V.,0927796X,
7b1ee1b0-940f-46e9-8a14-4e086d289a18,WASTE MANAGEMENT,0956-053X,1879-2456,0956053X,18792456,26490,Waste Management,Elsevier Ltd,0956053X,18792456
f3c0600a-c48a-4fb8-9a50-6d132443c0e2,SOCIAL SCIENCE & MEDICINE,0277-9536,1873-5347,02779536,18735347,18983,Social Science and Medicine,Elsevier Ltd,02779536,18735347
8ea8b232-b8ee-44ec-ad22-1cd17c2532ec,INTERNATIONAL ORTHOPAEDICS,0341-2695,1432-5195,03412695,14325195,29817,International Orthopaedics,Springer Nature,03412695,14325195
afeda701-2ad7-4763-805d-483d3e79b741,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,0901-5027,1399-0020,09015027,13990020,25629,International Journal of Oral and Maxillofacial Surgery,Churchill Livingstone,09015027,13990020
ba872e72-089c-462b-b9da-f6e98169247f,HEPATOLOGY RESEARCH,1386-6346,1872-034X,13866346,1872034X,28373,Hepatology Research,John Wiley and Sons Inc,13866346,1872034X
5fecb50f-8a31-4f46-8cfd-c0f3aebc8053,JOURNAL OF THE AMERICAN HEART ASSOCIATION,NA,2047-9980,no data,20479980,21100246515,Journal of the American Heart Association,American Heart Association Inc.,,20479980
68fa689a-0394-49b5-9e5f-ab530752591f,MATHEMATISCHE NACHRICHTEN,0025-584X,1522-2616,0025584X,15222616,25107,Mathematische Nachrichten,Wiley-VCH Verlag,0025584X,15222616
e2288276-dac4-4ca3-bbc8-155d29e6b9ca,SAFETY AND HEALTH AT WORK,2093-7911,2093-7997,20937911,20937997,21100242826,Safety and Health at Work,Elsevier B.V.,20937911,20937997
96d19e42-0a57-4827-a0b9-c399044d7d76,ARCHIVES OF CARDIOVASCULAR DISEASES,1875-2136,1875-2128,18752136,18752128,11300153709,Archives of Cardiovascular Diseases,Elsevier Masson s.r.l.,18752136,18752128
0d0da07a-1b55-4a9e-8ec3-fdcf86e11088,GENDER AND HISTORY,0953-5233,1468-0424,09535233,14680424,14724,Gender and History,Wiley-Blackwell Publishing Ltd,09535233,14680424
1cbda80a-90d8-468b-9d30-53be59a661bc,GENESIS,1526-954X,1526-968X,1526954X,1526968X,22142,Genesis (United States),Wiley-Liss Inc.,1526954X,1526968X
3513e0ec-10e4-4131-8e25-00293cd8c078,GEOLOGICAL JOURNAL,0072-1050,1099-1034,00721050,10991034,26474,Geological Journal,John Wiley and Sons Ltd,00721050,10991034
49f1e942-50ea-40fb-990b-0d04dc7b76af,INDUSTRIAL RELATIONS,0019-8676,1468-232X,00198676,1468232X,20146,Industrial Relations,Wiley-Blackwell Publishing Ltd,00198676,1468232X
c53a9e3e-8437-4b24-a5db-69701b20707c,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,0023-6152,NA,00236152,no data,31872,"Journal of the Faculty of Agriculture, Kyushu University","Kyushu University, Faculty of Science",00236152,
ca8a9e0c-a62d-4fd6-9c03-2561d8363eb3,WATER QUALITY RESEARCH JOURNAL OF CANADA,1201-3080,1201-3080,12013080,12013080,24564,Water Quality Research Journal of Canada,IWA Publishing,12013080,24089443
c0f932e2-afcf-4ad7-a89d-6563ade33c7b,AVIAN PATHOLOGY,0307-9457,1465-3338,03079457,14653338,17689,Avian Pathology,Taylor and Francis Ltd.,03079457,14653338
a37a7856-f396-4927-be35-6343affd2ca9,ANNUAL REVIEW OF LINGUISTICS,2333-9691,2333-9691,23339691,23339691,21100778765,Annual Review of Linguistics,Annual Reviews Inc.,23339683,23339691
e019ca22-c86d-4f84-a23b-c214fa5f3aa6,ATMOSPHERIC ENVIRONMENT,1352-2310,1873-2844,13522310,18732844,23357,Atmospheric Environment,Elsevier Ltd,13522310,18732844
a128e4bc-35a6-42cc-b1b9-1337e169d4b2,ADVANCED QUANTUM TECHNOLOGIES,NA,2511-9044,no data,25119044,21101039765,Advanced Quantum Technologies,John Wiley & Sons Inc.,,25119044
3919b896-5df7-4553-9bfd-44e444b5fa7a,CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS,1528-4042,1534-6293,15284042,15346293,14989,Current Neurology and Neuroscience Reports,Springer,15284042,15346293
